Class,Chapter,Problems,Incorrect,Percent
Algebra,Graphing Multiple Lines,12,1,
Algebra,Solving Linear Inequalities,13,0,
Algebra,Multiplying Binomials,27,3,
Algebra,Factoring Monic Quadratics,6,0,
Algebra,Factoring General Quadratics,15,1,
Algebra,Sum and Product of Roots,25,2,
Algebra,Square of a Binomial,7,0,
Algebra,Difference-of-Squares,8,0,
Algebra,Rationalizing Denominators,9,0,
Algebra,Simon's Favorite Factoring Trick,36,5,
Algebra,Complex Number Arithmetic,22,2,
Algebra,Quadratic Formula/Discriminant,21,2,
Algebra,Completing the Square,11,1,
Algebra,Quadratic Optimization,22,2,
Algebra,Advanced Quadratics,13,2,
Algebra,Graphing Quadratics,36,6,
Algebra,Graphing Circles,22,2,
Algebra,Quadratic Inequalities,24,4,
Algebra,Evaluating Functions,10,0,
Algebra,Domain and Range,20,1,
Algebra,Function Composition,11,0,
Algebra,Inverse Functions,19,0,
Algebra,Functional Operations,10,1,
Algebra,Graphing Functions,14,0,
Algebra,Polynomial Basics,12,0,
Algebra,Polynomial Multiplication,11,0,
Algebra,Exponential and Logarithm Basics,9,0,
Algebra,Interest Rates,24,5,
Algebra,Logarithm Basics,13,0,
Algebra,Radical Expressions and Functions,12,1,
Algebra,Absolute Value,35,7,
Algebra,Floor and Ceiling,15,1,
Algebra,Rational Expressions of Polynomials,16,1,
Algebra,Piecewise-Defined Functions,12,1,
Algebra,Arithmetic Sequences,13,0,
Algebra,Arithmetic Series,24,3,
Algebra,Geometric Sequences,15,1,
Algebra,Geometric Series,28,5,
Algebra,Clever Algebraic Manipulations,19,3,
Number Theory,Multiples,22,3,
Number Theory,Divisors,20,2,
Number Theory,Primes and Composites Basics,16,1,
Number Theory,Remainders,10,0,
Number Theory,Prime Factorization,21,1,
Number Theory,Least Common Multiple,29,5,
Number Theory,Greatest Common Divisor,20,1,
Number Theory,The Euclidean Algorithm,21,2,
Number Theory,LCM/GCD Problem-Solving,14,2,
Number Theory,Counting Divisors,13,1,
Number Theory,Divisor Arithmetic,19,3,
Number Theory,Converting from Base 10,19,2,
Number Theory,Converting to Base 10,15,0,
Number Theory,Base Number Problem-Solving,11,2,
Number Theory,Base Number Arithmetic,12,0,
Number Theory,The Last Digit (Base 10),12,2,
Number Theory,Terminating Decimals,16,1,
Number Theory,Repeating Decimals,43,3,
Number Theory,Congruence and Residues,16,4,
Number Theory,Modular Arithmetic Sums,11,0,
Number Theory,Modular Arithmetic,9,0,
Number Theory,Patterns in Modular Arithmetic,8,0,
Number Theory,Divisibility Rules,26,1,
Number Theory,Divisibility Problem-Solving,17,4,
Number Theory,Modular Arithmetic Inverses,12,2,
Number Theory,Modular Arithmetic Congruences,16,2,
Number Theory,Modular Arithmetic Systems,11,2,
Number Theory,Perfect Powers,11,3,
Number Theory,Digits,6,0,
Counting & Probability,Counting Numbers in Lists,28,2,
Counting & Probability,Venn Diagrams,23,0,
Counting & Probability,Counting Independent Events,34,4,
Counting & Probability,Factorials,22,3,
Counting & Probability,Permutations,22,1,
Counting & Probability,Casework Counting,60,12,
Counting & Probability,Complementary Counting,22,4,
Counting & Probability,Constructive Counting,17,0,
Counting & Probability,Counting with Restrictions,45,15,
Counting & Probability,Counting with Symmetry,69,23,
Counting & Probability,Correcting for Overcounting with Division,52,10,
Counting & Probability,Basic Combinations,20,2,
Counting & Probability,Computing Combinations,15,0,
Counting & Probability,Combinations with Restrictions,23,9,
Counting & Probability,Distinguishability,38,11,
Counting & Probability,Basic Probability as Counting,22,2,
Counting & Probability,Basic Probability with Combinations,29,8,
Counting & Probability,Probability with Casework,54,20,
Counting & Probability,Complementary Probability,19,3,
Counting & Probability,Binomial Probability,20,6,
Counting & Probability,Multiplying Probabilities,16,1,
Counting & Probability,Advanced Probability with Combinations,31,8,
Counting & Probability,Probability - Think About It!,16,1,
Counting & Probability,Using Geometry in Probability,9,0,
Counting & Probability,Expected Value,19,3,
Counting & Probability,Pascal's Triangle,14,1,
Counting & Probability,Binomial Theorem,20,4,
Geometry,Angle Measurement Basics,21,2,
Geometry,"Angles, Parallel Lines, and Triangles",18,0,
Geometry,Isosceles and Equilateral Triangles,17,1,
Geometry,Length and Perimeter,24,1,
Geometry,Area Basics,19,0,
Geometry,Similar Triangles,19,1,
Geometry,The Pythagorean Theorem,29,1,
Geometry,Special Right Triangles,25,0,
Geometry,Bisectors in a Triangle,45,7,
Geometry,Triangle Medians and Altitudes,23,1,
Geometry,Quadrilaterals Level 1,29,2,
Geometry,Quadrilaterals Level 2,20,1,
Geometry,Polygon Angles,27,2,
Geometry,Polygon Length and Area,24,3,
Geometry,Inequalities in Triangles,24,2,
Geometry,Circle Area and Circumference,30,1,
Geometry,Funky Circle Areas,29,4,
Geometry,Angles in Circles,22,3,
Geometry,Lengths in Circles,15,1,
Geometry,Prisms,7,0,
Geometry,Pyramids,11,1,
Geometry,Cylinders,10,0,
Geometry,Cones,11,2,
Geometry,Spheres,7,0,
Geometry,Transformations,9,1,
Geometry,Analytic Geometry Level 1,7,0,
Geometry,Analytic Geometry Level 2,8,2,
Geometry,Right-Triangle Trigonometry,8,1,
Geometry,Unit Circle Trigonometry,8,0,
Intermediate Algebra,Domain and Range,23,1,
Intermediate Algebra,Graphing Functions,16,0,
Intermediate Algebra,Inverse Functions,20,0,
Intermediate Algebra,Function Composition,12,0,
Intermediate Algebra,Complex Number Arithmetic,24,2,
Intermediate Algebra,Magnitude of Complex Numbers,8,0,
Intermediate Algebra,Basic Complex Numbers,13,2,
Intermediate Algebra,Advanced Complex Numbers,0,0,
Intermediate Algebra,Quadratic Inequalities,27,5,
Intermediate Algebra,Graphing Quadratics,39,6,
Intermediate Algebra,Quadratic Formula / Discriminant,33,4,
Intermediate Algebra,Sum and Product of Roots,29,3,
Intermediate Algebra,Quadratic Optimization,25,2,
Intermediate Algebra,Circles,25,3,
Intermediate Algebra,Ellipses,11,1,
Intermediate Algebra,Hyperbolas,12,3,
Intermediate Algebra,Parabolas,7,2,
Intermediate Algebra,Advanced Conic Sections,1,0,
Intermediate Algebra,Polynomial Division Algorithms,17,3,
Intermediate Algebra,Remainder and Factor Theorem,6,1,
Intermediate Algebra,Basic Polynomial Forms,14,1,
Intermediate Algebra,Advanced Polynomial Forms,2,1,
Intermediate Algebra,Integer / Rational Roots,10,2,
Intermediate Algebra,Irrational Roots,8,1,
Intermediate Algebra,Complex Roots,0,0,
Intermediate Algebra,Polynomial Interpolation,2,0,
Intermediate Algebra,Vieta's Formulas,8,0,
Intermediate Algebra,Basic Polynomial Roots,6,0,
Intermediate Algebra,Advanced Polynomial Roots,1,0,
Intermediate Algebra,Arithmetic Sequences and Series,38,3,
Intermediate Algebra,Geometric Sequences and Series,44,6,
Intermediate Algebra,Telescoping Series,4,0,
Intermediate Algebra,General Sequences and Series,5,0,
Intermediate Algebra,Recursively Defined Sequences,1,0,
Intermediate Algebra,Advanced Sequences and Series,0,0,
Intermediate Algebra,Exponents and Logarithms,27,0,
Intermediate Algebra,Radicals,14,1,
Intermediate Algebra,Floor and Ceiling,17,2,
Intermediate Algebra,Even and Odd Functions,10,1,
Intermediate Algebra,Absolute Value,37,7,
Intermediate Algebra,Piecewise-Defined Functions,17,3,
Intermediate Algebra,Graphs of Rational Functions,8,0,
Intermediate Algebra,Basic Rational Function Equations and Inequalities,6,1,
Intermediate Algebra,Advanced Rational Function Equations and Inequalities,0,0,
Intermediate Algebra,Partial Fractions,7,0,
Intermediate Algebra,General Inequality Skills,4,0,
Intermediate Algebra,AM-GM Inequality,4,0,
Intermediate Algebra,Cauchy-Schwarz Inequality,0,0,
Intermediate Algebra,Power Mean Inequality,0,0,
Intermediate Algebra,Advanced Inequalities,0,0,
Intermediate Algebra,Advanced Algebraic Manipulations,19,3,
Intermediate Algebra,Factorization Identities,0,0,
Intermediate Algebra,Basic Functional Equations,4,0,
Intermediate Algebra,Advanced Functional Equations,0,0,
Intermediate Algebra,Systems of Equations,46,3,
Intermediate Algebra,Binomial Theorem,20,4,
Precalculus,Trigonometric Values,14,0,
Precalculus,Graphs of Trigonometric Functions,3,0,
Precalculus,Inverse Trigonometric Functions,0,0,
Precalculus,Basic Trigonometric Identities,3,0,
Precalculus,Sums and Differences of Angles,0,0,
Precalculus,Double and Half Angle Identities,0,0,
Precalculus,Sum-to-Product and Product-to-Sum,0,0,
Precalculus,Solving Trigonometric Equations,0,0,
Precalculus,Basic Triangle Geometry,3,1,
Precalculus,Advanced Triangle Geometry,0,0,
Precalculus,Parametric Curves,0,0,
Precalculus,Polar Coordinates,0,0,
Precalculus,3D Coordinates,0,0,
Precalculus,Spherical and Cylindrical Coordinates,0,0,
Precalculus,Complex Number Arithmetic,24,2,
Precalculus,The Complex Plane,19,2,
Precalculus,Polar Form of Complex Numbers,0,0,
Precalculus,Exponential Form of Complex Numbers,0,0,
Precalculus,Roots of Unity,3,1,
Precalculus,Geometry of Complex Numbers,2,0,
Precalculus,2D Vector Basics,0,0,
Precalculus,Lines with 2D Vectors,0,0,
Precalculus,Projections of 2D Vectors,0,0,
Precalculus,Solving Geometry Problems with Vectors,0,0,
Precalculus,2D Matrix Basics,0,0,
Precalculus,2D Matrix Transformations,0,0,
Precalculus,2D Matrix Determinant,0,0,
Precalculus,2D Matrix Inverses,0,0,
Precalculus,3D Vector Basics,0,0,
Precalculus,Lines with 3D Vectors,0,0,
Precalculus,Cross Product,0,0,
Precalculus,Planes with 3D Vectors,0,0,
Precalculus,Projections of 3D Vectors,0,0,
Precalculus,3D Matrix Basics,0,0,
Precalculus,3D Matrix Determinant,0,0,
